Last Name,Grantor Tier,Grantor Stage,Wayleave Signed
10 McKinley Road Freehold Limited,Tier-2,,0
10 Moat Croft Road (Eastbourne) Freehold Company Limited,Tier-2,,0
10 Norfolk Crescent (Bath) Limited,Tier-2,,0
10 Park Crescent Management (Worthing) Limited,Tier-2,,0
10 Park Place West Management Company Limited,Tier-2,Newly Listed Grantor,0
10 Pittville Crescent Management Company Limited,Tier-2,,0
10 Portland Place (Bath) Limited,Tier-2,,0
10 Portland Place Limited,Tier-2,,0
10 Priors Terrace Management Company Limited,Tier-2,,0
10 Queens Parade Residents Association Limited,Tier-2,Wayleave Partially Signed,0
10 Raby Place Bath (Management) Limited,Tier-2,,0
10 Royal Crescent Limited,Tier-2,,0
10 Southcliffe Management Limited C/O Brannen & Partners LLP,Tier-2,Wayleave Partially Signed,0
10 Victoria Quadrant Weston Super Mare Management Limited,Tier-2,Newly Listed Grantor,0
10 Walcot Parade (Bath) Limited,Tier-2,,0
10 Walpole Terrace Limited,Tier-2,,0
10 Wellington Road (Portslade) Management Company Limited,,,0
10 West Avenue Management Company Limited,Tier-2,,0
10 Widcombe Crescent (Bath) Limited,Tier-2,Newly Listed Grantor,0
10 Wilbury Gardens (Hove) Limited,,Newly Listed Grantor,0
10 WSQ Ltd,Tier-2,Newly Listed Grantor,0
110 Arundel Road Management Company Limited,Tier-2,Newly Listed Grantor,0
110 Bloomfield Road Limited,Tier-2,Newly Listed Grantor,0
1-10 Salisbury Mews Limited,Tier-2,Newly Listed Grantor,0
110 Southwood Road Limited,Tier-2,,0
11-13 Woodside Management Company Limited,,Newly Listed Grantor,0
111 Osborne Road Flats Management Company Limited,Tier-2,,0
111 Woodbridge Limited,Tier-2,,0
11-23 Swallows Croft Management Company Limited,Tier-2,,0
112 and 114 Musters Road Management Company Limited,,Newly Listed Grantor,0
112 London Road Limited,Tier-2,,0
112 Marine Parade (Worthing) Limited,Tier-2,Newly Listed Grantor,0
112 Trafalgar Road Limited,,Newly Listed Grantor,0
113 Clifton Road Worthing Limited,Tier-2,,0
113 Preston Road (Brighton) Limited,Tier-2,,0
114 Marine Parade (Brighton) Limited,,Newly Listed Grantor,0
114 Old Laira Road (Management) Limited,,Newly Listed Grantor,0
115-116 Marine Parade Limited,Tier-2,,0
115 Montgomery Street Limited,,Newly Listed Grantor,0
115 Osborne Road Limited,Tier-2,,0
115 Park Road Management Company Limited,Tier-2,,0
116 Lawrence Road Southsea (Management) Limited,Tier-2,,0
116 Montgomery Street (Hove) Limited,,Newly Listed Grantor,0
117-119 Marine Parade Brighton Limited,Tier-2,Newly Listed Grantor,0
117 Lyndhurst Road (Freehold) Limited,,Newly Listed Grantor,0
117 The Headrow Limited,Tier-2,Wayleave Terms Issued,0
118 & 119 Eastern Esplanade (Management) Limited,Tier-2,Newly Listed Grantor,0
11a Bathwick Street Limited,Tier-2,,0
11 Ardmore Road Management Limited,Tier-2,,0
11b & 12 Bathwick Street Management Company Limited,Tier-2,,0
11 Bath Road Limited,Tier-2,Newly Listed Grantor,0
11 Bathwick Street Management Company Limited,Tier-2,,0
11 Belle Vue Crescent Sunderland Management Company Limited,Tier-2,Newly Listed Grantor,0
11 Bellgrove Terrace Limited,Tier-2,,0
11 Bladud Buildings (Bath) Limited,Tier-2,,0
11 Burnaby Road Freehold Limited,Tier-2,,0
11 Camden Crescent Management Limited,Tier-2,,0
11 Carnarvon Road Management Limited,Tier-2,Newly Listed Grantor,0
11 Cavendish Crescent (Bath) Limited,Tier-2,,0
11 Cavendish Place Bath Limited,Tier-2,,0
11 Chichester Terrace Limited,Tier-2,,0
11 Clarence Road East Limited,Tier-2,Newly Listed Grantor,0
11 College Road Brighton Management Limited,Tier-2,,0
11 Devonshire Buildings Bath (Management) Limited,Tier-2,Newly Listed Grantor,0
11 Dorset Gardens Limited,Tier-2,,0
11 Gladstone Terrace (Brighton) Limited,Tier-2,,0
11 Grosvenor Place (Bath) Freehold Limited,Tier-2,,0
11 Hartfield Road (Eastbourne) Limited,Tier-2,,0
11 Kensington Place Bath Limited,Tier-2,Newly Listed Grantor,0
11 Kirkley Cliff Management Company Limited,Tier-2,,0
11 Mill Road Worthing Limited,Tier-2,Initial Grantor Engagement,0
11 Newcastle Drive Limited,Tier-2,Newly Listed Grantor,0
11 New King Street Limited,Tier-2,,0
11 Norfolk Buildings Management Company,Tier-2,,0
11 Norfolk Crescent (Bath) Limited,Tier-2,,0
11 Park Crescent Management Company Limited,Tier-2,,0
11 Park Valley Management Limited,Tier-2,Newly Listed Grantor,0
11 Pelham Crescent (Hastings) Limited,Tier-2,Newly Listed Grantor,0
11 PPA Limited,Tier-2,Newly Listed Grantor,0
11 Queens Road Limited,Tier-2,,0
11 Russell Street Management Company Limited,Tier-2,,0
11 Shelley Road Limited,Tier-2,Newly Listed Grantor,0
11 Sussex Square Brighton Limited,Tier-2,,0
11 Windsor Road Management Company Limited,Tier-2,,0
12/13 New King Street (Bath) Limited,Tier-2,,0
12 & 13 Lambridge Place Bath Limited,Tier-2,Newly Listed Grantor,0
120 Tilehurst Road Management Limited,Tier-2,,0
120 Winchcombe Street Management Limited,Tier-2,,0
121 Cranleigh Road Property Management Company Limited,Tier-2,,0
121 London Road Reading Management Company Limited,Tier-2,Newly Listed Grantor,0
121 Osborne Road Management Limited,Tier-2,,0
123 Castle Hill Limited,Tier-2,,0
123 London Road Ltd,,Newly Listed Grantor,0
123 Marine Parade Limited,,Newly Listed Grantor,0
123 Southgate Street Limited,Tier-2,,0
124-134 St Georges Park Avenue Limited,Tier-2,,0
124 Castle Hill Freehold Limited,Tier-2,,0
124 Marine Parade Brighton Limited,,Newly Listed Grantor,0
124 Rowlands Road (Worthing) Limited,Tier-2,,0
124 St Georges Terrace Freehold Limited,Tier-2,,0
125/127 Brighton Road Worthing Limited,Tier-2,,0
125 Peter Street (Blackpool) Limited,Tier-2,Newly Listed Grantor,0
125 Stroud Road Management Company Limited,Tier-2,,0
126 High Street Limited,Tier-2,,0
126 London Road Management Company Limited,Tier-2,,0
126 Lower Oldfield Park Bath (Management) Limited,Tier-2,Newly Listed Grantor,0
126 Marine Parade (Brighton) Limited,,Newly Listed Grantor,0
126 North Hill (Plymouth) Management Company Limited,Tier-2,Newly Listed Grantor,0
126 North Hill (Plymouth) Management Company Limited,Tier-2,Newly Listed Grantor,0
127 Richmond Park Road Management Company Limited,Tier-2,,0
128 Alexandra Road Mutley Company Limited,Tier-2,Newly Listed Grantor,0
128 Marine Parade Brighton Company Limited,Tier-2,,0
129 Milton Road Management Company Limited,Tier-2,,0
12A Crescent Place Brighton Limited,,Newly Listed Grantor,0
12 Brock Street Bath Limited,Tier-2,Newly Listed Grantor,0
12 Brunswick Square Management Company Limited,Tier-2,,0
12 Camden Crescent (Bath) Limited,Tier-2,,0
12 Camden Crescent (Bath) Limited,Tier-2,,0
12 Chichester Terrace Management Company Limited,Tier-2,,0
12 College Road (Brighton) Limited,Tier-2,,0
12 College Terrace Management Limited,Tier-2,,0
12 Daniel Street Management Company Limited,Tier-2,,0
12 Denton Road Management Company Limited,Tier-2,,0
12 Eaton Place Freeholders Limited,,Newly Listed Grantor,0
12 Eversfield Place (St Leonards On Sea) Limited,,Newly Listed Grantor,0
12 Grand Parade Management Company Limited,Tier-2,Newly Listed Grantor,0
12 Grassington Road (Eastbourne) Management Limited,Tier-2,,0
12 Grosvenor Place (Bath) Management Company Limited,Tier-2,,0
12 Grosvenor Road Management Company Limited,Tier-2,Newly Listed Grantor,0
12 Guinea Lane (Bath) Limited,Tier-2,,0
12 Henrietta Street (Bath) Management Company Limited,Tier-2,,0
12 Holmesdale Gardens (Hastings) Limited,Tier-2,Newly Listed Grantor,0
12 Johnstone Street Management Company Limited,Tier-2,,0
12 Kensington Place Bath Limited,Tier-2,Newly Listed Grantor,0
12 Lower Oldfield Park Management Company Limited,Tier-2,Newly Listed Grantor,0
12 Lower Rock Gardens Brighton Limited,,Newly Listed Grantor,0
12 Manvers Street Management Company Ltd,Tier-2,Newly Listed Grantor,0
12 Marine Square (Brighton) Limited,Tier-2,,0
12 Marlborough Buildings Limited,Tier-2,,0
12 Marlborough Street Bath (Management) Company Limited,Tier-2,,0
12 Milburn Road (Management) Limited,Tier-2,Newly Listed Grantor,0
12 Montpelier Management Company Limited,Tier-2,Newly Listed Grantor,0
12 Montpellier Villas Management Limited,Tier-2,Newly Listed Grantor,0
12 Napier Terrace Plymouth Limited,Tier-2,Newly Listed Grantor,0
12 Oriental Place Management Company,,Newly Listed Grantor,0
12 Pelham Crescent Ltd,Tier-2,Newly Listed Grantor,0
12 Priory Avenue (Hastings) Limited,,Newly Listed Grantor,0
12 Queens Parade Management Company Limited,Tier-2,Newly Listed Grantor,0
12 Royal Crescent (Bath) Management Company Limited,Tier-2,,0
12 Russell Street (Management Company) Limited,Tier-2,,0
12 Sackville Road Residents Association Limited,Tier-2,Newly Listed Grantor,0
12 Shipgate Street Limited,Tier-2,Newly Listed Grantor,0
12 Shrubbery Avenue Weston-Super-Mare Management Limited,Tier-2,Newly Listed Grantor,0
12 St Georges Place Management (Bath) Limited,Tier-2,,0
12 St Johns Road Management Company Limited,Tier-2,,0
12 St Lukes Road Freehold Limited,Tier-2,,0
12 Stracey Road Limited,,Newly Listed Grantor,0
12 Sussex Square Residents Association Limited,Tier-2,,0
12 The Crescent Property Management Limited,Tier-2,Newly Listed Grantor,0
12th Man Limited,Tier-2,Newly Listed Grantor,0
12 Upperton Gardens Management Company Limited,Tier-2,,0
12 Victoria Square (Newcastle) Management Company Limited,Tier-2,,0
12 Walcot Buildings Management (Bath) Limited,Tier-2,,0
12 Walpole Terrace (Brighton) Limited,Tier-2,,0
12 Waverley Road Management Company  Limited,Tier-2,,0
12 Wilderness Road Management Limited,Tier-2,Newly Listed Grantor,0
13/14 Bladud Buildings (Bath) Management Company Limited,Tier-2,,0
13/14 Kings Gardens (Hove) Limited,Tier-2,Newly Listed Grantor,0
13/14 Marwick Terrace Limited,Tier-2,Newly Listed Grantor,0
13-14 Gentlemans Walk Norwich Management Company Limited,,Newly Listed Grantor,0
13-14 Royal Crescent Limited,Tier-2,,0
131 Abington Avenue Management Limited,,Newly Listed Grantor,0
1-31 Nelson Court Management Company (Reading) Limited,Tier-2,Wayleave Signed,0
132 Queens Road Limited,Tier-2,Newly Listed Grantor,0
133 Marina Limited,,Newly Listed Grantor,0
133 Newbridge Road (Bath) Management Company Limited,Tier-2,,0
133 Tarrington Road Management Company Limited,Tier-2,Initial Grantor Engagement,0
134 Pool Road Management Limited,Tier-2,Newly Listed Grantor,0
136 Alexandra Road Management Company Limited,Tier-2,Newly Listed Grantor,0
136 Heene Road Worthing Limited,Tier-2,,0
137 Osborne Road Management Limited,Tier-2,,0
13 Akenside (Management) Limited,Tier-2,,0
13A St Georges Street (Cheltenham) Management Company Limited,Tier-2,Newly Listed Grantor,0
13 Bohemia Road Limited,Tier-2,Newly Listed Grantor,0
13 Brunswick Square (Gloucester) Limited,Tier-2,,0
13 Burlington Street Bath (Management) Limited,Tier-2,,0
13 Carysfort Road Management Company Limited,Tier-2,Wayleave Signed,0
13 Cecil Road Management Company Limited,Tier-2,Newly Listed Grantor,0
13 Chatham Row (Bath) Limited,Tier-2,,0
13 Church Road St Leonards On Sea Limited,,Newly Listed Grantor,0
13 Clifton Road La Limited,Tier-2,Newly Listed Grantor,0
13 Cromer Road Freehold Limited,Tier-2,Initial Grantor Engagement,0
13 Devonshire Buildings Limited,Tier-2,Newly Listed Grantor,0
13 Edward Street (Bath) Limited,Tier-2,,0
13 Ermington Terrace Management Company Limited,Tier-2,Newly Listed Grantor,0
13 Gay Street (Bath) Management Company Limited,Tier-2,Newly Listed Grantor,0
13 Grand Parade (Brighton) Limited,Tier-2,,0
13 Grosvenor Place (Bath) Management Company Limited,Tier-2,,0
13 Grosvenor Place South Cheltenham Limited,Tier-2,,0
13 Hartfield Road Management Company Limited,Tier-2,,0
13 Kensington Place Bath (Management) Limited,Tier-2,Newly Listed Grantor,0
13 Lansdown Crescent Management (Bath) Limited,Tier-2,,0
13 Lawrence Road (Hove) Limited,,Newly Listed Grantor,0
13 Marine Square (Brighton) Limited,Tier-2,,0
13 Marlborough Buildings (Bath) Management Company Ltd,Tier-2,,0
13 Montpellier Villas Residents Association Limited,Tier-2,Newly Listed Grantor,0
13 Northumberland Terrace (Tynemouth) Limited,Tier-2,,0
1-3 Oban Road (Southend) Limited,Tier-2,,0
13 Oxford Road Management Company Limited,Tier-2,,0
13 Pembroke Road Limited,Tier-2,,0
13 Portland Place Bath (Management) Limited,Tier-2,,0
13 Roundhill Crescent Limited,Tier-2,,0
13 Russell Street Bath (Management) Limited,Tier-2,,0
13 Salisbury Road Freehold Limited,Tier-2,,0
13 Thornhill Park Sunderland Limited,Tier-2,Newly Listed Grantor,0
"13 Uphill Road North, Weston Super Mare, Management Limited",Tier-2,Newly Listed Grantor,0
13 West Ave Limited,Tier-2,Newly Listed Grantor,0
13 Westbourne Villas (Hove) Limited,,Newly Listed Grantor,0
13 Whiteford Road Management Limited,Tier-2,,0
13 Willes Road Management Limited,Tier-2,,0
13 Windsor Road Management Company Limited,Tier-2,,0
"1-4, 1 Verulam Place Management Company Limited",Tier-2,,0
140 Hempsted Lane (Gloucester) Management Limited,Tier-2,,0
140 Marine Parade (Brighton) Limited,Tier-2,,0
140 Richmond Park road (Management) Limited,Tier-2,,0
14-16 Mansfield Road Limited,Tier-2,,0
142-144 Eastern Road Brighton Limited,Tier-2,,0
14-24 Canonbury Limited,Tier-2,,0
143 LDN STL Limited,,Newly Listed Grantor,0
143 London Road Management Company Limited,Tier-2,Newly Listed Grantor,0
144 Hales Road Management Company Limited,Tier-2,,0
144 Marina Limited,,Newly Listed Grantor,0
144 Thorpe Road (Norwich) Management Company Limited,,Newly Listed Grantor,0
144 Victoria Road Management Company Limited,Tier-2,Newly Listed Grantor,0
145A Wells Road Bath Limited,Tier-2,Newly Listed Grantor,0
145 London Road Limited,,Newly Listed Grantor,0
145 New Church Road Management Company Limited,,Newly Listed Grantor,0
146 London Road Limited,Tier-2,Newly Listed Grantor,0
147 London Road Limited,,Newly Listed Grantor,0
147 Wellsway Management Company Limited,Tier-2,Newly Listed Grantor,0
148 Mere Road Limited,Tier-2,,0
149 County Road Management Company Limited,Tier-2,Newly Listed Grantor,0
149 Wellsway Bath Management Company Limited,Tier-2,Newly Listed Grantor,0
14A Alexandra Road Management Company Limited,Tier-2,Newly Listed Grantor,0
14 Barbourne Road Ltd,Tier-2,Newly Listed Grantor,0
14 Bedford Street (Bath) Limited,Tier-2,,0
14 Brunswick Square Management Company Limited,Tier-2,,0
14 Burlington Street Limited,Tier-2,,0
14 Camden Crescent (Bath) Limited,Tier-2,,0
14 Chesham Place (Brighton) Limited,Tier-2,,0
14 Crabton Close Management Company Limited,Tier-2,,0
14 Devonshire Place Limited,Tier-2,,0
14 Eaton Place Management Company (Brighton) Limited,,Newly Listed Grantor,0
14 Edward Street Bath (Management) Company Limited,Tier-2,,0
14 Enys Road (Eastbourne) Limited,Tier-2,,0
14 Evesham Road Management Limited,Tier-2,,0
14 George Street Management Limited,Tier-2,Newly Listed Grantor,0
14 Glenfield Road Ltd,Tier-2,,0
14 Grand Parade Limited,Tier-2,,0
14 Grange Gardens (Eastbourne) Management Company Limited,Tier-2,,0
14 Holmesdale Gardens Residents Association Limited,,Newly Listed Grantor,0
14 Holyrood Place Plymouth Limited,Tier-2,Newly Listed Grantor,0
14 Hope Drive Property Management Limited,,Newly Listed Grantor,0
14 Hurst Road Eastbourne Limited,Tier-2,,0
14 Johnstone Street Management Company Limited,Tier-2,,0
14 Kensington Place Bath (Management) Limited,Tier-2,Newly Listed Grantor,0
14 Lansdown Crescent Bath Management Company Limited,Tier-2,,0
14 Lindum Terrace Limited,Tier-2,Initial Grantor Engagement,0
14 Lismore Road Management Limited,Tier-2,,0
14 Milnthorpe Road Leaseholders Limited,Tier-2,,0
14 Norfolk Crescent Bath Flats Limited,Tier-2,,0
14 Parkend Road Limited,Tier-2,,0
14 Portland Street Residents Ltd,Tier-2,,0
14 Russell Street (Bath) Limited,Tier-2,,0
14 Sackville Gardens (Freehold) Limited,,Newly Listed Grantor,0
14 Southside (Weston Super Mare) Management Company Limited,Tier-2,Newly Listed Grantor,0
14 St Johns Road St Leonards Limited,,Newly Listed Grantor,0
14 St Matthews Gardens Management Limited,Tier-2,Newly Listed Grantor,0
14 The Oval Management Company Limited,Tier-2,,0
14 Union Passage Ltd,Tier-2,,0
14 Union Street Limited,Tier-2,,0
14 Walpole Terrace Rte Company Limited,Tier-2,,0
14 Widcombe Parade (Bath) Limited,Tier-2,Newly Listed Grantor,0
14 Wilbury Gardens Limited,,Newly Listed Grantor,0
14 Willoughby Road (Freehold) Limited,Tier-2,,0
14 York Place Limited,Tier-2,,0
"15, 16 And 17 Portland Place Kemptown Management Company Limited",Tier-2,,0
150 High Street Twerton Bath Management Limited,Tier-2,Newly Listed Grantor,0
151/153 County Road Management Company Limited,Tier-2,Newly Listed Grantor,0
15-16 Atlingworth Street (Brighton) Limited,,Newly Listed Grantor,0
151 Newbridge Hill Bath Management Limited,Tier-2,,0
153 Newbridge Hill Management Company Limited,Tier-2,,0
153 Upper Lewes Road Limited,Tier-2,,0
153 Wsm Ltd,Tier-2,,0
155/156 Marine Parade (Brighton) Limited,,Newly Listed Grantor,0
155 The Avenue Alwoodley (Management Company) Limited,Tier-2,,0
156 Parkwood Road Limited,Tier-2,,0
157 Marine Parade Brighton Limited,,Newly Listed Grantor,0
"159 Stuart Road, Stoke, Plymouth, Devon Management Company Limited",Tier-2,,0
15 Bainbrigge Road Management Limited,Tier-2,,0
15 Bellgrove Terrace Limited,Tier-2,,0
15 Belmont (Bath) Management Company Limited,Tier-2,,0
15 Bladud Buildings Management Company Limited,Tier-2,,0
15 Bolton Road Management Limited,Tier-2,,0
15 Burlington Street Management Limited,Tier-2,,0
15 Cambray Place (Management) Company Limited,Tier-2,,0
15 Catharine Place (Bath) Management Company Limited,Tier-2,,0
15 Charles Road Management Limited,,Newly Listed Grantor,0
15 Chesham Place (Brighton) Limited,Tier-2,,0
15 Claremont Property Management Limited,Tier-2,Newly Listed Grantor,0
15 Clarence Square Limited,,Newly Listed Grantor,0
15 Dragon Parade Limited,Tier-2,,0
15 Gladstone Terrace (Management) Company Limited,Tier-2,,0
15 Grand Avenue Hove Limited,Tier-2,Newly Listed Grantor,0
15 Hartfield Road Limited,Tier-2,,0
15 Henrietta Street Limited,Tier-2,,0
15 High Street Freehold Management Company Limited,Tier-2,,0
15 Lambridge Place (Bath) Management Company Limited,Tier-2,Newly Listed Grantor,0
15 Lenton Avenue Management Company Limited,Tier-2,Newly Listed Grantor,0
15 Linton Road Hastings Limited,Tier-2,Newly Listed Grantor,0
15 Marlborough Buildings Bath Limited,Tier-2,,0
15 New Steine Ltd,Tier-2,,0
15 Percy Terrace (Plymouth) Limited,Tier-2,Newly Listed Grantor,0
15 Pevensey Road Limited,,Newly Listed Grantor,0
15 Ranelagh Villas (Hove) Limited,,Newly Listed Grantor,0
15 Richmond Road (Brighton) Limited,Tier-2,,0
15 Richmond Terrace (Brighton) Freehold Company Limited,Tier-2,,0
15 Rivers Street (Bath) Limited,Tier-2,,0
15 Sillwood Road Management Company Limited,,Newly Listed Grantor,0
15 St Georges Terrace Brighton Limited,Tier-2,,0
15 The Vineyards Bath (Management) Limited,Tier-2,,0
15 Vittoria Walk Management Company Limited,Tier-2,,0
15 Warrior Square Limited,,Newly Listed Grantor,0
15 Waverley Grove Management Company Limited,Tier-2,,0
15 West Buildings Limited,Tier-2,Newly Listed Grantor,0
15 Woodside Road (Southbourne) Limited,Tier-2,,0
160 Marine Parade Limited,,Newly Listed Grantor,0
160 Wimborne Road Freehold Limited,Tier-2,,0
16-17 Lower Rock Gardens Brighton Limited,,Newly Listed Grantor,0
161 Grenfell Road Limited,Tier-2,,0
161 Parkwood Road Limited,Tier-2,,0
162 Woodhouse Lane Limited,Tier-2,Newly Listed Grantor,0
1648 Preston Property Company Limited,Tier-2,,0
164 Coleridge Road Management Company Limited,Tier-2,,0
165 And 167 Kingsway (Hove) Limited,,Newly Listed Grantor,0
165 Queens Park Road (Brighton) Limited,Tier-2,,0
169K Limited,,Newly Listed Grantor,0
16 Alum Chine Road Management Company Limited,Tier-2,,0
16 Alumhurst Road (Freehold) Bournemouth Limited,Tier-2,,0
16 Barbourne Road Ltd,Tier-2,Newly Listed Grantor,0
16 Bloomsbury Place Brighton Limited,,Newly Listed Grantor,0
16 Brock Street Management Company Limited,Tier-2,Newly Listed Grantor,0
16 Burlington Street Bath Limited,Tier-2,,0
16 Cambray Place (Cheltenham) Limited,Tier-2,,0
16 Chatham Road (Worthing) Limited,Tier-2,,0
16 Chesham Place (Brighton) Limited,Tier-2,,0
16 Chesham Road (Brighton) Limited,Tier-2,,0
16 Church Road Freehold Limited,Tier-2,,0
16 Circus Bath Limited,Tier-2,Newly Listed Grantor,0
16 Clarendon Square Limited,Tier-2,,0
16 Cloudesley Road Management Company Limited,,Newly Listed Grantor,0
16 Crescent Road Limited,Tier-2,Newly Listed Grantor,0
16 Derwent Road Residents Limited,Tier-2,,0
16 Eaton Road Handbridge Management Company Limited,Tier-2,Newly Listed Grantor,0
16 Edensor Limited,Tier-2,,0
16 Edward Street Management (Bath) Limited,Tier-2,,0
16 Florence Road Management Company Limited,Tier-2,,0
16 Grand Parade Brighton Limited,Tier-2,,0
16 Grassington Road (Eastbourne) Management Company Limited,Tier-2,,0
16 Greenbank (Management) Limited,Tier-2,Newly Listed Grantor,0
16 Grosvenor Place (Bath) Management Company Limited,Tier-2,,0
16 Heene Terrace Limited,Tier-2,,0
16 Henrietta Street (Bath) Limited,Tier-2,,0
16 Holmesdale Gardens Limited,,Newly Listed Grantor,0
16 Kensington Place (Bath) Management Limited,Tier-2,Newly Listed Grantor,0
16 Lansdown Place Limited,Tier-2,,0
16 Lewes Crescent Limited,Tier-2,,0
16 Linton Road Limited,,Newly Listed Grantor,0
16 Longton Grove (W-S-M) Management Company Limited,Tier-2,Newly Listed Grantor,0
16 Lower Oldfield Park Bath (Management) Co Ltd,Tier-2,Newly Listed Grantor,0
16 Marine Square Limited,Tier-2,,0
16 Meads Street (Freehold),Tier-2,,0
16 Milverton Terrace Management Company Limited,Tier-2,,0
16 Norfolk Crescent Management Company Limited,Tier-2,,0
16 Portland Place (Bath) Limited,Tier-2,,0
16 Portland Street Limited,Tier-2,,0
16 Rock Street Brighton Limited,Tier-2,,0
"16 Sillwood Road, Brighton Limited",,Newly Listed Grantor,0
16 Southfields Road Residents Association Ltd,Tier-2,,0
16 St Stephens Road Limited,Tier-2,,0
16 Studland Road (Freehold) Limited,Tier-2,Newly Listed Grantor,0
16 Sussex Square Brighton Limited,Tier-2,,0
16 The Upper Drive Hove Limited,,Newly Listed Grantor,0
16 Upper Rock Gardens (Brighton) Limited,Tier-2,,0
16 Walpole Road Management Company Limited,Tier-2,,0
17/18 Broad Street (Bath) Management Company Limited,Tier-2,,0
17/18 Henrietta Street (Bath) Limited,Tier-2,,0
17/19 Lansdowne Place (Hove) Freeholders Limited,Tier-2,Newly Listed Grantor,0
17/19 St Aubyns Hove Limited,Tier-2,Newly Listed Grantor,0
170 Beechwood Road Limited,Tier-2,Newly Listed Grantor,0
170 Whitley Wood Road Reading Management Company Limited,Tier-2,,0
17-18 Walcot Parade Management Company Limited,Tier-2,,0
17-19 Compton Street Eastbourne Limited,Tier-2,,0
171 Kingsway (Hove) Limited,,Newly Listed Grantor,0
17-22 Fairacre Management Company Limited,Tier-2,Newly Listed Grantor,0
172 Canford Cliffs Road (Maintenance) Limited,Tier-2,,0
172 London Road West Management Company Limited,Tier-2,,0
172 Residents Association Limited,Tier-2,,0
175 Kingsway Hove Management Limited,,Newly Listed Grantor,0
177 Kingsway (Hove) Limited,,Newly Listed Grantor,0
178 Dyke Road (Brighton) Limited,Tier-2,Newly Listed Grantor,0
